"Time","Series1","Series2","Series3","Series4","Series5","Series6","Series7","Series8","Series9","Series10","Series11","Series12","Series13","Series14","Series15","Series16"
1,3.50511336791097,5.20809675779007,3.22165259620373,3.64822280820866,3.35178997957578,4.11236597562155,3.52676804081714,4.13808948139067,3.2063946320463,2.8831934987309,3.07024511810778,2.61957260014249,3.07450200997053,3.19290104489335,2.85227146442793,2.97321878215422
2,3.50511336791097,5.44440227705228,3.49329498209307,4.26623177826948,3.35178997957578,4.29501324896427,3.33737782525368,4.43813385187186,3.2063946320463,2.86979096240245,3.37600184861558,2.94468930022692,3.07450200997053,3.19281943645865,3.37686806865516,3.33562982807177
3,3.50511336791097,5.68070779631448,3.91377974007067,4.54049134667042,3.35178997957578,4.47766052230699,3.28349743357149,4.46357955473529,3.2063946320463,2.856388426074,3.33539370116238,2.8937096851307,3.07450200997053,3.1927522319198,3.15052609051824,3.02339609761238
4,3.50511336791097,5.91701331557669,3.37325326264206,4.00564491705024,3.35178997957578,4.66030779564971,3.27624870815324,4.50878581354078,3.2063946320463,2.84298588974555,3.09238262133428,2.81127212788922,3.07450200997053,3.19269688898791,2.80863648887433,2.88810763408914
5,3.50511336791097,5.20809675779007,3.22165259620373,3.64822280820866,3.35178997957578,4.11236597562155,3.52676804081714,4.13808948139067,3.2063946320463,2.8831934987309,3.07024511810778,2.61957260014249,3.07450200997053,3.19290104489335,2.85227146442793,2.97321878215422
6,3.50511336791097,5.44440227705228,3.49329498209307,4.26623177826948,3.35178997957578,4.29501324896427,3.33737782525368,4.43813385187186,3.2063946320463,2.86979096240245,3.37600184861558,2.94468930022692,3.07450200997053,3.19281943645865,3.37686806865516,3.33562982807177
7,3.50511336791097,5.68070779631448,3.91377974007067,4.54049134667042,3.35178997957578,4.47766052230699,3.28349743357149,4.46357955473529,3.2063946320463,2.856388426074,3.33539370116238,2.8937096851307,3.07450200997053,3.1927522319198,3.15052609051824,3.02339609761238
8,3.50511336791097,5.91701331557669,3.37325326264206,4.00564491705024,3.35178997957578,4.66030779564971,3.27624870815324,4.50878581354078,3.2063946320463,2.84298588974555,3.09238262133428,2.81127212788922,3.07450200997053,3.19269688898791,2.80863648887433,2.88810763408914
9,3.50511336791097,5.20809675779007,3.22165259620373,3.64822280820866,3.35178997957578,4.11236597562155,3.52676804081714,4.13808948139067,3.2063946320463,2.8831934987309,3.07024511810778,2.61957260014249,3.07450200997053,3.19290104489335,2.85227146442793,2.97321878215422
10,3.50511336791097,5.44440227705228,3.49329498209307,4.26623177826948,3.35178997957578,4.29501324896427,3.33737782525368,4.43813385187186,3.2063946320463,2.86979096240245,3.37600184861558,2.94468930022692,3.07450200997053,3.19281943645865,3.37686806865516,3.33562982807177
11,3.50511336791097,5.68070779631448,3.91377974007067,4.54049134667042,3.35178997957578,4.47766052230699,3.28349743357149,4.46357955473529,3.2063946320463,2.856388426074,3.33539370116238,2.8937096851307,3.07450200997053,3.1927522319198,3.15052609051824,3.02339609761238
12,3.50511336791097,5.91701331557669,3.37325326264206,4.00564491705024,3.35178997957578,4.66030779564971,3.27624870815324,4.50878581354078,3.2063946320463,2.84298588974555,3.09238262133428,2.81127212788922,3.07450200997053,3.19269688898791,2.80863648887433,2.88810763408914
13,3.50511336791097,5.20809675779007,3.22165259620373,3.64822280820866,3.35178997957578,4.11236597562155,3.52676804081714,4.13808948139067,3.2063946320463,2.8831934987309,3.07024511810778,2.61957260014249,3.07450200997053,3.19290104489335,2.85227146442793,2.97321878215422
14,3.50511336791097,5.44440227705228,3.49329498209307,4.26623177826948,3.35178997957578,4.29501324896427,3.33737782525368,4.43813385187186,3.2063946320463,2.86979096240245,3.37600184861558,2.94468930022692,3.07450200997053,3.19281943645865,3.37686806865516,3.33562982807177
15,3.50511336791097,5.68070779631448,3.91377974007067,4.54049134667042,3.35178997957578,4.47766052230699,3.28349743357149,4.46357955473529,3.2063946320463,2.856388426074,3.33539370116238,2.8937096851307,3.07450200997053,3.1927522319198,3.15052609051824,3.02339609761238
16,3.50511336791097,5.91701331557669,3.37325326264206,4.00564491705024,3.35178997957578,4.66030779564971,3.27624870815324,4.50878581354078,3.2063946320463,2.84298588974555,3.09238262133428,2.81127212788922,3.07450200997053,3.19269688898791,2.80863648887433,2.88810763408914
17,3.50511336791097,5.20809675779007,3.22165259620373,3.64822280820866,3.35178997957578,4.11236597562155,3.52676804081714,4.13808948139067,3.2063946320463,2.8831934987309,3.07024511810778,2.61957260014249,3.07450200997053,3.19290104489335,2.85227146442793,2.97321878215422
18,3.50511336791097,5.44440227705228,3.49329498209307,4.26623177826948,3.35178997957578,4.29501324896427,3.33737782525368,4.43813385187186,3.2063946320463,2.86979096240245,3.37600184861558,2.94468930022692,3.07450200997053,3.19281943645865,3.37686806865516,3.33562982807177
19,3.50511336791097,5.68070779631448,3.91377974007067,4.54049134667042,3.35178997957578,4.47766052230699,3.28349743357149,4.46357955473529,3.2063946320463,2.856388426074,3.33539370116238,2.8937096851307,3.07450200997053,3.1927522319198,3.15052609051824,3.02339609761238
20,3.50511336791097,5.91701331557669,3.37325326264206,4.00564491705024,3.35178997957578,4.66030779564971,3.27624870815324,4.50878581354078,3.2063946320463,2.84298588974555,3.09238262133428,2.81127212788922,3.07450200997053,3.19269688898791,2.80863648887433,2.88810763408914
21,3.50511336791097,5.20809675779007,3.22165259620373,3.64822280820866,3.35178997957578,4.11236597562155,3.52676804081714,4.13808948139067,3.2063946320463,2.8831934987309,3.07024511810778,2.61957260014249,3.07450200997053,3.19290104489335,2.85227146442793,2.97321878215422
22,3.50511336791097,5.44440227705228,3.49329498209307,4.26623177826948,3.35178997957578,4.29501324896427,3.33737782525368,4.43813385187186,3.2063946320463,2.86979096240245,3.37600184861558,2.94468930022692,3.07450200997053,3.19281943645865,3.37686806865516,3.33562982807177
23,3.50511336791097,5.68070779631448,3.91377974007067,4.54049134667042,3.35178997957578,4.47766052230699,3.28349743357149,4.46357955473529,3.2063946320463,2.856388426074,3.33539370116238,2.8937096851307,3.07450200997053,3.1927522319198,3.15052609051824,3.02339609761238
24,3.50511336791097,5.91701331557669,3.37325326264206,4.00564491705024,3.35178997957578,4.66030779564971,3.27624870815324,4.50878581354078,3.2063946320463,2.84298588974555,3.09238262133428,2.81127212788922,3.07450200997053,3.19269688898791,2.80863648887433,2.88810763408914
25,3.50511336791097,5.20809675779007,3.22165259620373,3.64822280820866,3.35178997957578,4.11236597562155,3.52676804081714,4.13808948139067,3.2063946320463,2.8831934987309,3.07024511810778,2.61957260014249,3.07450200997053,3.19290104489335,2.85227146442793,2.97321878215422
26,3.50511336791097,5.44440227705228,3.49329498209307,4.26623177826948,3.35178997957578,4.29501324896427,3.33737782525368,4.43813385187186,3.2063946320463,2.86979096240245,3.37600184861558,2.94468930022692,3.07450200997053,3.19281943645865,3.37686806865516,3.33562982807177
27,3.50511336791097,5.68070779631448,3.91377974007067,4.54049134667042,3.35178997957578,4.47766052230699,3.28349743357149,4.46357955473529,3.2063946320463,2.856388426074,3.33539370116238,2.8937096851307,3.07450200997053,3.1927522319198,3.15052609051824,3.02339609761238
28,3.50511336791097,5.91701331557669,3.37325326264206,4.00564491705024,3.35178997957578,4.66030779564971,3.27624870815324,4.50878581354078,3.2063946320463,2.84298588974555,3.09238262133428,2.81127212788922,3.07450200997053,3.19269688898791,2.80863648887433,2.88810763408914
