"Time","Series1","Series2","Series3","Series4","Series5","Series6","Series7","Series8","Series9","Series10","Series11","Series12","Series13","Series14","Series15","Series16","Series17","Series18","Series19","Series20","Series21","Series22","Series23","Series24"
1,102.955309547058,103.099250372843,127.023421472738,121.624126566744,93.4017300252808,106.286201063548,121.165768484137,132.272326596701,98.0807084472697,95.0369417462116,112.339954616183,120.564132032089,83.8198170599147,108.107539913726,124.635699681702,123.060464697448,65.9607900221015,89.4751418226556,103.61086709703,123.912330160683,85.0542867482292,94.1622964023274,104.367325946366,103.350545369932
2,100.865524367465,96.2124491965208,101.935415597882,95.6471137736954,97.9715095919438,108.395362916047,108.86526022492,106.847171978546,98.8188070342328,99.4115510727273,103.566813586785,102.147869896606,101.607832248506,99.4964234224371,113.056510447673,91.2717446969534,118.428665727727,104.902872682053,101.266848480395,93.5963722330413,102.177809159031,106.154729318823,107.350413528504,93.9191409715011
3,106.998916781063,104.257623407531,85.2585063508769,79.7414089355256,97.1690764631613,106.938383626796,79.2233846139105,86.2400385685861,98.0846817207219,93.2965473890492,76.7777345585987,75.9064900816785,123.977313224871,99.7320456833485,59.2448429254766,88.3280609279513,79.4927485175164,120.157531431955,71.8378949417307,79.9418361262621,117.352552784131,81.0428297224189,79.1974665830161,60.5904064224312
4,100.587297923135,96.2603501454185,103.114527311686,104.542238493961,106.039730981241,97.887983087115,106.790516469744,98.4583604409092,99.6463881710483,93.3832915865798,94.0481295899663,102.305174682323,77.2701378390255,97.753154203099,125.351604550458,115.880846887389,104.328965942276,92.5100104395699,114.211379570258,109.605272066457,84.1929660760546,91.8880542397416,101.839963172133,100.746403751295
5,98.3422712089957,103.15119914827,122.168101949044,116.251371065739,100.684978769961,107.259760583683,127.705789342109,122.068820400026,100.556902035123,103.846829585135,120.845499230993,109.956224275189,106.505140308949,103.848392214329,117.629539422325,156.204499072066,102.144615336121,101.638110014201,127.950101421032,95.0442861390237,89.2280199155421,98.2550904871572,105.292447549171,113.55482548497
6,101.391474566527,105.483308165518,101.930422190922,98.3919696505602,107.520210175141,111.752245931905,100.102406854292,117.420582401308,95.3958040846982,97.3414130946676,99.5813642912001,97.1267576043332,113.493171299816,92.4419960044447,116.81756170973,70.5252650093322,125.396042290365,129.57020402466,122.645621226552,96.9771707674286,98.9602084037791,88.6092142275158,120.924669338901,80.9580932356095
7,94.0720417548233,95.057785388084,86.4566165222904,74.2611462477037,106.26786256076,107.839704903682,76.8948899133302,80.1334961801334,92.6191466422641,82.2755148786217,69.9098939826625,70.3141251721595,85.1570169656669,104.1551687749,81.0839197863337,84.0985355460023,109.832739725849,90.0897913872276,116.47751303472,94.3898741845872,84.6806932490576,94.6924754247473,84.3793201357156,62.7867368415572
8,95.820529733032,105.539975204898,94.9887006314467,101.771760982247,100.832189100446,105.16945333552,98.0370711438043,109.072396876425,98.9733156610429,92.6320620805016,94.1393324380482,79.6871249170711,99.2080089771628,86.0296596276889,95.0136573314991,109.821918743045,109.529087023578,122.216909710753,110.109832975875,103.582773204723,93.8235847223068,81.9387796092011,86.3839636152195,76.068782098577
9,102.551366255697,97.5523356439379,114.474086354213,122.123998911945,105.046961071387,103.569408796943,133.556371057339,135.262855298185,91.8226705880279,88.7409353187139,103.057777157439,102.485212446602,112.354163539331,103.002203129121,92.476199300597,119.181020169594,119.472037132879,115.731522838523,122.780750217024,118.792086817736,90.2860582453246,96.6151783488926,119.741233965157,115.745613932888
10,98.3343954938803,101.471766942185,102.959730016986,103.24173675612,114.425562275288,106.673486022199,109.826289692344,115.093789861711,97.8892598939674,84.3168690611117,87.6219248789441,90.6814759960508,96.1673634617892,116.602561309997,83.4974167211922,76.6326662727234,97.5947816571435,93.4127820716551,97.6472491022195,100.464582032975,78.3562261414998,88.7841766123311,71.7822842415949,98.5651327172115
11,99.6701952682377,101.009187361444,79.4015516793344,73.9009498424155,115.515380429773,114.574241779747,98.0528585180531,94.2455600545962,88.6903867119022,90.048929452156,79.2828881857347,75.6146137481291,96.6897347912318,107.638091704807,79.3798955012385,91.1225133812937,108.061517159004,100.981982367393,84.8544902665403,92.3362354862107,101.471618767075,88.2942598002031,69.1337480957616,76.8471234162383
12,99.4238914528902,97.864018068309,100.370026058425,100.536175173774,122.027866371503,109.84169449809,114.868375541315,111.184355050574,91.0696148209684,88.6498275800968,95.2506397566522,79.2434895845259,104.615901868159,115.506245146767,112.417788176757,88.3137138810412,129.663766207117,123.749162654533,110.955972454594,87.4775142272874,100.694617558345,58.7681937033078,109.050368480208,75.3566545387603
13,96.7474369061273,101.340514349989,123.706386885857,115.279711541751,112.982098458001,114.1380746997,139.848479455413,131.4950665144,79.2695570287738,85.3574671371596,109.945093777334,98.1428776554024,99.0998012000009,83.6369685729607,91.7748201876814,127.587922482458,123.252104314698,116.734391490682,165.477028720809,148.668438608733,102.362092599858,76.8949712808189,101.567410325935,77.6074555764709
